Butters Stotch

Appearanes,143

Top Episodes
Episode,Lines,Rating
Butters Very Own Episode,98,9
AWESOMO,91,9.2
Grounded Vindaloop,78,9.1
Butters Bottom Bitch,76,8.8
The Death of Eric Cartman,74,9.1
Freak Strike,63,7.9
DikinBaus Hot Dogs,62,7.8
Raisins,55,8.5
Casa Bonita,52,9.2
Jared Has Aides,52,8
Average

Top Profanities
Profanity,Count
god,58
stupid,27
kill,26
bitch,23
fuck,17
shit,14
fat,14
gay,13
poop,13
bitches,10

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,1,0,0.0,
3,47,7,0.72,
4,88,8,0.79,
5,174,21,1.0,
6,377,28,0.64,
7,177,24,1.29,
8,219,21,0.8,
9,140,8,0.65,
10,94,8,1.25,
11,154,14,1.03,
12,204,13,0.72,
13,230,72,2.24,
14,112,35,2.72,
15,150,11,0.71,
16,203,24,0.94,
17,117,20,1.06,
18,168,19,1.33,
19,116,16,1.55,
20,76,24,1.94,
21,65,8,0.95,
22,83,2,0.24,
23,87,7,0.67,
24,24,6,2.03,
25,114,26,1.67,
26,87,9,0.91,
