Carol McCormick

Appearanes,18

Top Episodes
Episode,Lines,Rating
Cartman Joins NAMBLA,26,9
Chickenpox,19,8
Best Friends Forever,11,8.5
A Ladder to Heaven,8,8.7
Mysterion Rises,7,8.3
Spookyfish,6,8.4
Quintuplets 2000,5,7.3
How to Eat with Your Butt,4,8
The Wacky Molestation Adventure,3,8.7
Starvin Marvin,3,8.1
Average

Top Profanities
Profanity,Count
god,3
shit,3
drunk,3
asshole,2
fuck,2
fuckin,1
ass,1
motherfucker,1
retard,1
hell,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,3,0,0.0,
2,28,10,3.13,
3,0,0,0,
4,36,0,0.0,
5,6,2,3.08,
6,8,1,1.27,
7,0,0,0,
8,0,0,0,
9,11,1,0.86,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,9,4,4.08,
15,3,3,13.64,
16,0,0,0,
17,2,0,0.0,
18,2,0,0.0,
19,4,0,0.0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,1,1,33.33,
25,0,0,0,
26,0,0,0,
