Chef

Appearanes,53

Top Episodes
Episode,Lines,Rating
Chef Aid,73,7.8
Conjoined Fetus Lady,55,7.7
The Return of Chef,48,8.1
Cancelled,46,8.4
The Succubus,42,8
MechaStreisand,40,7.5
Chef Goes Nanners,38,8.2
Pinkeye,36,8.3
Big Gay Als Big Gay Boat Ride,35,7.6
The Biggest Douche in the Universe,31,8.6
Average

Top Profanities
Profanity,Count
hell,28
god,21
damn,20
ass,14
sex,10
gay,8
sexual,7
shit,7
crap,6
kill,5

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,279,52,1.91,
2,226,26,1.13,
3,74,6,0.79,
4,103,33,2.15,
5,59,25,3.19,
6,82,15,1.46,
7,60,13,2.1,
8,31,2,0.44,
9,8,0,0.0,
10,48,9,3.42,
11,0,0,0,
12,1,0,0.0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,1,0,0.0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
