Clyde Donovan

Appearanes,75

Top Episodes
Episode,Lines,Rating
South Park Post Covid,25,7.5
Bebes Boobs Destroy Society,21,8.2
Lice Capades,20,8
Deep Learning,18,8.3
South Park Post Covid The Return of Covid,18,7.5
Reverse Cowgirl,13,7.7
The Return of the Fellowship of the Ring to the Two Towers,12,9.3
Coon 2 Hindsight,12,8.1
Tweek vs Craig,12,7.6
Marjorine,11,8.8
Average

Top Profanities
Profanity,Count
fuck,6
fat,6
shit,5
stupid,5
god,5
ass,4
fucking,3
shitter,2
crap,2
sucks,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,22,4,3.74,
2,9,1,2.38,
3,17,0,0.0,
4,23,6,3.33,
5,9,1,1.41,
6,38,7,1.61,
7,3,2,6.9,
8,17,0,0.0,
9,29,2,0.85,
10,14,1,1.08,
11,36,2,0.74,
12,10,0,0.0,
13,22,0,0.0,
14,28,3,1.21,
15,17,1,0.62,
16,24,2,1.26,
17,19,6,3.21,
18,5,1,3.33,
19,6,0,0.0,
20,13,4,4.08,
21,6,0,0.0,
22,12,1,0.6,
23,7,0,0.0,
24,47,13,2.79,
25,3,0,0.0,
26,27,7,1.71,
