Craig Tucker

Appearanes,61

Top Episodes
Episode,Lines,Rating
Put It Down,43,8
Tweek x Craig,34,8.1
Tweek vs Craig,29,7.6
Pandemic 2 The Startling,25,7.8
Good Times with Weapons,18,9.1
Pandemic,13,8
South Park Post Covid,13,7.5
South Park is Gay,12,8.1
Black Friday,10,8.9
Bebes Boobs Destroy Society,10,8.2
Average

Top Profanities
Profanity,Count
gay,12
hell,7
ass,5
stupid,5
asshole,5
god,4
fat,3
fuck,3
shit,3
fucking,3

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,46,6,2.4,
4,10,1,1.33,
5,3,2,10.0,
6,23,2,1.16,
7,13,7,7.69,
8,29,4,1.72,
9,18,2,1.32,
10,4,0,0.0,
11,33,8,2.45,
12,47,7,0.82,
13,8,0,0.0,
14,1,0,0.0,
15,28,2,0.69,
16,18,1,0.68,
17,31,4,1.61,
18,16,3,2.65,
19,35,11,3.16,
20,7,2,3.92,
21,60,5,0.84,
22,8,2,3.03,
23,3,0,0.0,
24,24,5,2.33,
25,3,1,4.0,
26,6,2,6.67,
