Detective Yates

Appearanes,32

Top Episodes
Episode,Lines,Rating
Cartmans Incredible Gift,45,8.6
Butters Bottom Bitch,35,8.8
The Jeffersons,34,8.6
Time To Get Cereal,33,7.7
South Park The Streaming Wars Part 2,25,6.6
The Pandemic Special,15,8.3
Miss Teacher Bangs a Boy,14,8.5
The Coon,14,8.4
City Sushi,14,8
Youre Not Yelping,13,8
Average

Top Profanities
Profanity,Count
god,10
damn,8
hell,7
fuck,5
bitch,5
sex,4
murder,4
oral,3
pimp,3
prostitute,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,17,0,0.0,
8,79,16,1.25,
9,3,1,4.76,
10,17,2,1.2,
11,9,3,4.48,
12,8,4,4.35,
13,49,24,3.45,
14,9,2,1.46,
15,23,2,0.64,
16,12,1,0.56,
17,1,0,0.0,
18,2,0,0.0,
19,25,2,0.45,
20,0,0,0,
21,13,0,0.0,
22,48,33,2.88,
23,5,0,0.0,
24,15,2,0.55,
25,55,10,0.93,
26,0,0,0,
