Doctor

Appearanes,47

Top Episodes
Episode,Lines,Rating
Cartmans Mom is Still a Dirty Slut,46,8.2
TMI,22,8
Chickenpox,20,8
Medicinal Fried Chicken,14,8.7
The Big Fix,14,8
Pinkeye,13,8.3
Kenny Dies,11,8.8
Best Friends Forever,10,8.5
Cherokee Hair Tampons,10,8
Britneys New Look,10,7.1
Average

Top Profanities
Profanity,Count
fat,8
hell,6
ass,5
dick,5
god,4
shit,4
damn,3
queef,3
titty,3
kill,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,13,2,1.25,
2,74,13,1.22,
3,6,4,3.08,
4,17,2,0.83,
5,18,0,0.0,
6,17,2,0.95,
7,8,3,2.75,
8,23,5,1.22,
9,29,3,0.56,
10,8,0,0.0,
11,11,1,0.47,
12,18,6,2.93,
13,8,4,3.36,
14,19,3,0.89,
15,24,16,2.53,
16,8,0,0.0,
17,0,0,0,
18,0,0,0,
19,1,1,10.0,
20,0,0,0,
21,8,0,0.0,
22,11,2,0.96,
23,9,1,0.74,
24,11,2,1.26,
25,14,6,2.27,
26,5,0,0.0,
