Eric Cartman

Appearanes,294

Top Episodes
Episode,Lines,Rating
Fat Butt and Pancake Head,190,8.4
Scott Tenorman Must Die,136,9.6
Something You Can Do with Your Finger,107,8
Tsst,105,9
Casa Bonita,104,9.2
Cartman Gets an Anal Probe,103,7.9
DikinBaus Hot Dogs,99,7.8
Poor and Stupid,90,7.5
Cat Orgy,89,7.9
Jewpacabra,88,6.7
Average

Top Profanities
Profanity,Count
god,515
hell,221
fuck,209
stupid,187
ass,177
fucking,135
bitch,132
crap,109
coon,100
shit,98

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,703,221,3.57,
2,757,204,3.36,
3,765,198,2.51,
4,822,255,2.57,
5,634,148,1.89,
6,746,222,2.49,
7,786,162,1.71,
8,519,149,2.28,
9,471,72,1.04,
10,580,127,1.67,
11,468,143,2.04,
12,443,160,2.64,
13,525,189,2.03,
14,492,261,3.37,
15,450,142,2.06,
16,524,216,2.8,
17,341,89,1.62,
18,425,148,2.54,
19,250,68,1.8,
20,259,65,1.65,
21,343,99,2.16,
22,273,62,1.46,
23,176,46,1.71,
24,242,81,2.03,
25,246,92,2.43,
26,192,41,1.45,
