Father Maxi

Appearanes,18

Top Episodes
Episode,Lines,Rating
A Boy And A Priest,50,7.6
Red Hot Catholic Love,36,8.2
Do the Handicapped Go to Hell,20,8.3
Spontaneous Combustion,14,8.1
Damien,10,7.9
Korns Groovy Pirate Ghost Mystery,8,7.8
The Passion of the Jew,5,8.6
Margaritaville,4,8.5
Mr Hankey the Christmas Poo,4,8.1
The City Part of Town,4,7.6
Average

Top Profanities
Profanity,Count
god,19
hell,13
sex,6
gods,3
crap,2
stupid,2
ass,1
bitch,1
sexual,1
maxi,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,14,4,2.53,
2,5,1,1.75,
3,31,5,1.11,
4,22,13,3.17,
5,2,1,1.75,
6,36,14,1.92,
7,2,4,2.96,
8,5,1,1.09,
9,2,0,0.0,
10,0,0,0,
11,3,1,1.59,
12,0,0,0,
13,6,6,4.44,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,4,0,0.0,
20,1,0,0.0,
21,0,0,0,
22,50,3,0.42,
23,1,0,0.0,
24,1,2,2.22,
25,0,0,0,
26,0,0,0,
