Gerald Broflovski

Appearanes,83

Top Episodes
Episode,Lines,Rating
Wieners Out,60,7.9
Smug Alert,44,8.1
Sexual Harassment Panda,41,8.2
Two Guys Naked in a Hot Tub,41,8
Oh Jeez,35,7.1
Chickenpox,31,8
Mr Garrisons Fancy New Vagina,29,7.6
Help My Teenager Hates Me,28,7.6
Fort Collins,28,7.4
Major Boobage,27,8.7
Average

Top Profanities
Profanity,Count
god,42
fuck,15
shit,13
fucking,11
ass,10
hell,10
sexual,9
bitch,9
fat,8
dildo,8

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,13,0,0.0,
2,64,11,1.66,
3,144,17,1.2,
4,30,4,1.42,
5,18,6,2.64,
6,42,8,1.71,
7,60,7,1.07,
8,11,0,0.0,
9,44,8,1.52,
10,52,2,0.34,
11,30,5,1.57,
12,45,7,1.03,
13,10,0,0.0,
14,7,1,1.43,
15,25,3,0.98,
16,18,4,2.58,
17,2,0,0.0,
18,19,1,0.7,
19,39,5,0.95,
20,258,129,3.59,
21,9,0,0.0,
22,7,1,1.32,
23,14,3,3.45,
24,9,1,0.57,
25,28,1,0.37,
26,6,0,0.0,
