Heidi Turner

Appearanes,20

Top Episodes
Episode,Lines,Rating
Moss Piglets,57,7
Doubling Down,46,7.5
Sons A Witches,29,7.3
White People Renovating Houses,21,6.8
Splatty Tomato,20,7.2
Marjorine,19,8.8
The Damned,19,8.1
Douche and a Danish,19,7.3
Put It Down,18,8
Fort Collins,18,7.4
Average

Top Profanities
Profanity,Count
bitch,6
shit,6
stupid,4
god,4
fat,4
fuck,4
hell,3
pissed,3
goddammit,2
ass,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,3,1,9.09,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,21,2,1.53,
10,0,0,0,
11,1,0,0.0,
12,1,0,0.0,
13,1,0,0.0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,7,1,3.33,
18,0,0,0,
19,0,0,0,
20,109,3,0.24,
21,204,46,1.76,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
