Ike Broflovski

Appearanes,35

Top Episodes
Episode,Lines,Rating
Taming Strange,31,7
Dead Celebrities,25,7.7
Miss Teacher Bangs a Boy,18,8.5
Ikes Wee Wee,18,8
Not Funny,12,7.4
Jewbilee,11,7.4
Cartman Gets an Anal Probe,10,7.9
The End of Serialization as We Know It,10,7.1
Members Only,8,7.4
Trapper Keeper,7,8
Average

Top Profanities
Profanity,Count
fuck,8
fuckin,6
shit,5
muff,3
stupid,3
dick,3
pussy,3
fat,3
bitch,3
asshole,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,15,0,0.0,
2,18,0,0.0,
3,17,0,0.0,
4,19,0,0.0,
5,3,0,0.0,
6,6,2,7.69,
7,8,3,13.64,
8,0,0,0,
9,3,2,6.06,
10,27,1,0.99,
11,0,0,0,
12,4,0,0.0,
13,33,6,2.1,
14,4,3,42.86,
15,7,2,6.06,
16,2,0,0.0,
17,31,18,4.47,
18,6,0,0.0,
19,0,0,0,
20,34,23,20.54,
21,2,1,6.25,
22,3,0,0.0,
23,4,1,5.26,
24,6,1,1.35,
25,0,0,0,
26,6,1,5.88,
