Jesus Christ

Appearanes,22

Top Episodes
Episode,Lines,Rating
The Mexican Staring Frog of Southern Sri Lanka,47,7.6
Damien,40,7.9
Super Best Friends,39,8.2
Are You There God Its Me Jesus,35,7.8
A Scause For Applause,25,7.1
Mr Hankeys Christmas Classics,22,7.3
201,20,8.7
Fantastic Easter Special,17,8.2
Red Sleigh Down,17,8
Death,12,8
Average

Top Profanities
Profanity,Count
god,12
seaman,5
hell,4
crap,2
kill,2
porn,1
fag,1
stupid,1
ass,1
shit,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,63,2,0.37,
2,47,1,0.25,
3,61,10,1.16,
4,12,5,2.53,
5,39,2,0.38,
6,17,1,0.69,
7,0,0,0,
8,2,0,0.0,
9,0,0,0,
10,1,1,6.67,
11,26,1,0.4,
12,0,0,0,
13,0,0,0,
14,24,6,2.44,
15,0,0,0,
16,27,5,1.06,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,7,0,0.0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
