Jimbo

Appearanes,61

Top Episodes
Episode,Lines,Rating
The Mexican Staring Frog of Southern Sri Lanka,98,7.6
Volcano,66,7.6
The Red Badge of Gayness,53,8.3
Big Gay Als Big Gay Boat Ride,41,7.6
Summer Sucks,36,7.4
Chef Goes Nanners,27,8.2
Cow Days,26,7.6
Cartmans Mom is Still a Dirty Slut,22,8.2
Jakovasaurs,20,6.5
Scott Tenorman Must Die,18,9.6
Average

Top Profanities
Profanity,Count
hell,29
kill,16
god,15
damn,13
crap,7
weed,5
gay,5
hells,5
stupid,5
ass,4

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,136,32,2.22,
2,191,38,1.66,
3,109,16,1.23,
4,33,4,0.74,
5,43,12,3.17,
6,13,3,3.66,
7,17,3,1.68,
8,5,0,0.0,
9,6,1,1.67,
10,17,4,2.44,
11,14,3,2.86,
12,2,0,0.0,
13,0,0,0,
14,16,4,3.51,
15,0,0,0,
16,6,0,0.0,
17,8,0,0.0,
18,2,0,0.0,
19,6,0,0.0,
20,1,0,0.0,
21,3,0,0.0,
22,15,4,2.88,
23,12,7,8.05,
24,6,0,0.0,
25,9,3,3.41,
26,1,0,0.0,
