Jimmy Valmer

Appearanes,60

Top Episodes
Episode,Lines,Rating
Erection Day,86,7.6
Krazy Kripples,85,8.2
Up the Down Steroid,53,8.5
Fishsticks,49,8.7
Sponsored Content,43,8.8
Cripple Fight,36,8.3
Funnybot,35,6.3
Truth and Advertising,26,8.1
Quest for Ratings,24,8.2
Freemium Isnt Free,21,8.1
Average

Top Profanities
Profanity,Count
god,13
ass,9
penis,7
sex,5
vagina,5
jackass,5
dick,5
fuck,5
suck,5
shit,5

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,2,0,0.0,
4,0,0,0,
5,48,13,1.57,
6,31,6,1.17,
7,100,9,0.61,
8,88,24,1.65,
9,93,24,1.9,
10,9,1,1.43,
11,8,3,3.85,
12,21,5,1.75,
13,76,18,2.08,
14,19,1,0.37,
15,45,3,0.32,
16,14,5,4.85,
17,19,3,1.44,
18,29,0,0.0,
19,87,12,0.94,
20,4,1,3.23,
21,36,2,0.4,
22,3,1,5.26,
23,16,1,0.54,
24,25,5,0.74,
25,1,1,12.5,
26,25,6,1.2,
