Kenny McCormick

Appearanes,75

Top Episodes
Episode,Lines,Rating
Mysterion Rises,36,8.3
Coon vs Coon  Friends,36,8.3
The Ring,36,8.1
Jewbilee,35,7.4
Quintuplets 2000,27,7.3
Major Boobage,26,8.7
The Scoots,23,8
Poor and Stupid,22,7.5
Cartman Joins NAMBLA,21,9
Rainforest Shmainforest,19,8.4
Average

Top Profanities
Profanity,Count
fuck,61
fucking,30
fuckin,20
god,18
shit,13
stupid,10
ass,9
hell,8
dick,8
damn,7

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,67,25,6.58,
2,91,23,5.0,
3,133,27,4.05,
4,129,16,3.29,
5,48,10,5.13,
6,10,2,4.0,
7,52,5,2.89,
8,39,5,3.73,
9,25,4,4.44,
10,19,4,5.33,
11,14,6,9.38,
12,51,17,6.94,
13,76,17,2.72,
14,126,51,4.12,
15,29,4,2.5,
16,45,14,3.04,
17,26,4,2.9,
18,34,6,5.31,
19,14,4,5.33,
20,1,0,0.0,
21,13,2,1.63,
22,53,15,4.0,
23,8,1,4.35,
24,16,0,0.0,
25,24,7,5.65,
26,24,2,3.08,
