Kyle Broflovski

Appearanes,263

Top Episodes
Episode,Lines,Rating
Cow Days,92,7.6
Cartman Gets an Anal Probe,90,7.9
A Very Crappy Christmas,85,7.5
Ginger Cow,79,7.7
South Park Post Covid,79,7.5
Prehistoric Ice Man,75,7.9
Ikes Wee Wee,73,8
Chefs Chocolate Salty Balls,73,7.6
Mr Hankey the Christmas Poo,70,8.1
Chickenpox,65,8
Average

Top Profanities
Profanity,Count
god,184
hell,177
stupid,121
fatass,97
ass,88
fat,87
shit,58
fuck,50
crap,49
fucking,48

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,563,121,2.91,
2,854,174,2.86,
3,569,122,2.82,
4,502,92,2.25,
5,480,108,2.24,
6,473,90,2.43,
7,497,107,2.32,
8,365,102,2.65,
9,346,51,1.51,
10,356,77,2.41,
11,353,71,2.2,
12,266,52,2.13,
13,238,62,2.55,
14,188,49,2.38,
15,284,40,1.33,
16,324,80,2.46,
17,215,43,2.07,
18,270,39,1.34,
19,135,32,2.16,
20,165,31,1.8,
21,130,13,0.81,
22,198,24,1.38,
23,61,13,1.83,
24,217,47,2.11,
25,86,12,1.33,
26,112,27,1.93,
