Liane Cartman

Appearanes,87

Top Episodes
Episode,Lines,Rating
Tsst,58,9
Shots,43,7.5
City People,41,7.3
South Park The Streaming Wars,37,6.7
Cartmans Mom is a Dirty Slut,30,7.5
Merry Christmas Charlie Manson,23,8.1
Cartmans Mom is Still a Dirty Slut,22,8.2
The Tooth Fairy Tats 2000,20,8.2
The Biggest Douche in the Universe,19,8.6
Cat Orgy,17,7.9
Average

Top Profanities
Profanity,Count
fat,7
god,4
potty,3
sex,2
hell,2
fuck,2
pot,1
ass,1
tits,1
retarded,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,71,4,0.66,
2,83,3,0.43,
3,59,2,0.38,
4,62,3,0.48,
5,9,0,0.0,
6,45,1,0.29,
7,18,0,0.0,
8,31,3,1.14,
9,15,1,1.27,
10,75,0,0.0,
11,19,1,0.55,
12,20,2,1.57,
13,2,0,0.0,
14,23,0,0.0,
15,45,1,0.24,
16,12,1,1.32,
17,7,0,0.0,
18,1,0,0.0,
19,20,0,0.0,
20,1,0,0.0,
21,12,1,0.8,
22,4,1,2.27,
23,46,3,0.47,
24,9,0,0.0,
25,92,5,0.48,
26,12,0,0.0,
