Linda Stotch

Appearanes,48

Top Episodes
Episode,Lines,Rating
Butters Very Own Episode,57,9
The Wacky Molestation Adventure,30,8.7
Marjorine,17,8.8
AWESOMO,10,9.2
Die Hippie Die,10,8.7
Raisins,10,8.5
Stupid Spoiled Whore Video Playset,10,8.4
The Ungroundable,8,7.7
Night of the Living Homeless,7,8.7
PreSchool,7,8.4
Average

Top Profanities
Profanity,Count
god,17
kill,4
penis,3
bastard,2
dick,1
hell,1
bastards,1
jackass,1
stupid,1
damn,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,30,7,3.52,
5,69,9,1.2,
6,35,2,0.54,
7,20,3,1.12,
8,36,0,0.0,
9,33,4,1.97,
10,6,1,2.13,
11,16,0,0.0,
12,18,2,1.44,
13,0,0,0,
14,1,0,0.0,
15,12,2,2.25,
16,10,0,0.0,
17,0,0,0,
18,5,1,3.7,
19,0,0,0,
20,2,0,0.0,
21,5,0,0.0,
22,16,0,0.0,
23,3,0,0.0,
24,0,0,0,
25,21,2,1.02,
26,6,1,4.17,
