Mr Garrison

Appearanes,135

Top Episodes
Episode,Lines,Rating
Follow That Egg,72,8
Spring Break,69,6.5
The Death Camp of Tolerance,55,8.7
Weight Gain 4000,53,7.5
South ParQ Vaccination Special,53,7.5
Mr Garrisons Fancy New Vagina,49,7.6
World Wide Recorder Concert,47,8.1
Chef Aid,47,7.8
South Park is Gay,46,8.1
Fourth Grade,43,8.1
Average

Top Profanities
Profanity,Count
hell,64
gay,46
fuck,39
god,38
slave,35
penis,29
ass,27
shit,27
stupid,23
fag,21

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,250,51,1.74,
2,213,45,1.65,
3,139,48,2.46,
4,157,51,2.26,
5,89,47,2.99,
6,68,39,4.13,
7,85,38,3.31,
8,36,11,2.08,
9,151,70,2.5,
10,64,41,3.88,
11,45,17,2.25,
12,67,32,3.7,
13,10,0,0.0,
14,29,1,0.28,
15,9,1,0.88,
16,7,0,0.0,
17,4,0,0.0,
18,25,8,2.69,
19,78,48,3.92,
20,143,91,3.21,
21,38,13,2.92,
22,0,0,0,
23,10,2,1.2,
24,64,28,2.58,
25,14,2,0.3,
26,107,16,0.94,
