Mr Hankey

Appearanes,6

Top Episodes
Episode,Lines,Rating
The Problem with a Poo,49,6.4
A Very Crappy Christmas,46,7.5
Chefs Chocolate Salty Balls,44,7.6
Red Sleigh Down,30,8
Mr Hankey the Christmas Poo,28,8.1
Mr Hankeys Christmas Classics,10,7.3
201,1,8.7
I Should Have Never Gone Ziplining,1,7
Average

Top Profanities
Profanity,Count
crap,4
fuck,4
stupid,3
drunk,2
suck,2
whiz,2
hell,1
bitchin,1
homos,1
dick,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,28,0,0.0,
2,44,0,0.0,
3,10,2,0.88,
4,46,8,1.62,
5,0,0,0,
6,30,1,0.43,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,1,0,0.0,
15,0,0,0,
16,1,0,0.0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,49,14,1.49,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
