Mr Mackey

Appearanes,100

Top Episodes
Episode,Lines,Rating
Ikes Wee Wee,89,8
Insheeption,48,8.1
Back To The Cold War,48,6.6
Proper Condom Use,38,8.6
The Scoots,38,8
World Wide Recorder Concert,33,8.1
Taming Strange,28,7
Bass to Mouth,26,7.5
Skank Hunt,24,8.1
SUPER HARD PCness,23,7.7
Average

Top Profanities
Profanity,Count
god,16
urinal,15
hell,15
fucking,10
gay,9
shit,8
fuckin,7
penis,7
damn,6
fuck,4

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,23,5,1.39,
2,139,4,0.29,
3,80,14,1.24,
4,44,6,1.05,
5,47,27,3.56,
6,23,0,0.0,
7,29,1,0.22,
8,12,5,3.7,
9,16,8,2.17,
10,36,19,1.99,
11,7,0,0.0,
12,23,3,0.71,
13,17,1,0.28,
14,50,9,1.63,
15,52,27,2.0,
16,24,1,0.24,
17,72,10,0.65,
18,10,3,2.54,
19,19,2,0.63,
20,30,5,1.11,
21,38,2,0.44,
22,58,19,2.22,
23,36,8,1.38,
24,22,13,2.13,
25,51,7,0.95,
26,22,1,0.34,
