Mr Slave

Appearanes,9

Top Episodes
Episode,Lines,Rating
The Death Camp of Tolerance,23,8.7
Stupid Spoiled Whore Video Playset,17,8.4
Follow That Egg,11,8
Not Funny,9,7.4
South Park is Gay,8,8.1
Mr Garrisons Fancy New Vagina,6,7.6
The F Word,3,8.1
Quest for Ratings,2,8.2
Im a Little Bit Country,2,8
Butters Very Own Episode,1,9
Average

Top Profanities
Profanity,Count
whore,6
ass,3
bitch,3
gay,2
god,2
pussy,2
faggot,1
asshole,1
gods,1
stupid,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,1,0,0.0,
6,23,4,2.47,
7,13,0,0.0,
8,19,8,2.74,
9,17,4,3.03,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,4,1,7.14,
14,1,0,0.0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,9,7,9.21,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
