Officer Barbrady

Appearanes,37

Top Episodes
Episode,Lines,Rating
Chickenlover,82,8
Toilet Paper,46,8.3
Naughty Ninjas,29,8.2
Roger Ebert Should Lay off the Fatty Foods,21,7.5
Cow Days,17,7.6
Jakovasaurs,12,6.5
Cartmans Mom is Still a Dirty Slut,10,8.2
Spookyfish,9,8.4
Cartman Gets an Anal Probe,9,7.9
Fun with Veal,9,7.9
Average

Top Profanities
Profanity,Count
god,3
sex,3
damn,2
ass,2
screw,2
weirdo,2
hell,2
bitch,1
murder,1
goddammit,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,40,3,0.85,
2,157,13,0.79,
3,28,3,1.51,
4,12,0,0.0,
5,11,3,3.66,
6,9,0,0.0,
7,51,0,0.0,
8,0,0,0,
9,16,4,3.31,
10,0,0,0,
11,5,0,0.0,
12,6,0,0.0,
13,0,0,0,
14,5,0,0.0,
15,1,0,0.0,
16,0,0,0,
17,4,2,4.44,
18,0,0,0,
19,40,3,0.9,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
