PC Principal

Appearanes,28

Top Episodes
Episode,Lines,Rating
Sponsored Content,45,8.8
Stunning and Brave,36,7.6
Buddha Box,33,7.3
SUPER HARD PCness,32,7.7
The Problem with a Poo,32,6.4
Board Girls,31,8.1
Pajama Day,31,7.2
Safe Space,28,8.3
Tweek x Craig,14,8.1
Put It Down,12,8
Average

Top Profanities
Profanity,Count
fuckin,14
fucking,12
fuck,10
shit,9
penis,5
retarded,4
gay,3
pussy,2
puss,2
hitler,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,144,56,1.82,
20,21,2,0.42,
21,52,1,0.11,
22,68,5,0.54,
23,41,13,1.88,
24,5,2,1.53,
25,39,3,0.47,
26,4,0,0.0,
