Principal Victoria

Appearanes,45

Top Episodes
Episode,Lines,Rating
The Death Camp of Tolerance,18,8.7
The Cissy,17,8.5
Fourth Grade,15,8.1
TMI,15,8
Conjoined Fetus Lady,15,7.7
Bass to Mouth,15,7.5
Pinkeye,13,8.3
Toms Rhinoplasty,12,7.9
Tonsil Trouble,11,7.9
Eek A Penis,10,7.6
Average

Top Profanities
Profanity,Count
god,5
gay,4
hell,3
hiv,2
fat,2
kill,2
sex,2
sexual,2
murder,1
porn,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,34,3,0.85,
2,26,5,1.49,
3,10,2,1.31,
4,36,5,1.45,
5,8,2,1.69,
6,18,4,1.32,
7,13,1,0.78,
8,7,0,0.0,
9,3,1,8.33,
10,19,0,0.0,
11,8,0,0.0,
12,32,4,0.76,
13,11,3,1.59,
14,4,0,0.0,
15,31,3,0.68,
16,7,0,0.0,
17,6,0,0.0,
18,27,0,0.0,
19,14,0,0.0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
