Randy Marsh

Appearanes,128

Top Episodes
Episode,Lines,Rating
Broadway Bro Down,85,7.8
The Pandemic Special,84,8.3
Pinewood Derby,83,7.8
Bloody Mary,81,7.9
Japanese Toilet,80,7.7
Crème Fraiche,69,8.2
Over Logging,65,8.6
Holiday Special,65,7.6
South Park The Streaming Wars Part 2,63,6.6
Two Guys Naked in a Hot Tub,61,8
Average

Top Profanities
Profanity,Count
god,107
weed,92
shit,56
hell,54
fuck,52
stupid,39
fucking,31
ass,31
gay,27
crap,23

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,25,2,0.81,
2,91,6,0.79,
3,164,28,1.66,
4,81,5,0.53,
5,50,10,1.99,
6,176,41,1.78,
7,169,20,1.06,
8,107,14,1.0,
9,203,31,1.24,
10,105,13,1.04,
11,185,18,0.83,
12,157,47,2.6,
13,157,38,1.61,
14,229,48,1.61,
15,153,39,1.81,
16,160,20,0.91,
17,96,37,2.61,
18,180,33,1.31,
19,199,60,2.06,
20,83,30,2.54,
21,199,45,1.45,
22,179,59,2.76,
23,277,80,1.64,
24,162,58,2.13,
25,215,100,2.78,
26,139,35,1.74,
