Santa

Appearanes,8

Top Episodes
Episode,Lines,Rating
Red Sleigh Down,37,8
Christmas Snow,25,7.6
Mr Hankeys Christmas Classics,21,7.3
Woodland Critter Christmas,9,9.1
Bike Parade,7,7.6
Imaginationland Episode III,3,9
201,3,8.7
A Very Crappy Christmas,2,7.5
Average

Top Profanities
Profanity,Count
fucking,4
god,3
shit,3
kill,2
fuck,2
hell,2
drunk,2
assholes,2
bastards,1
stupid,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,1,0,0.0,
2,0,0,0,
3,21,2,1.39,
4,2,0,0.0,
5,0,0,0,
6,37,6,1.38,
7,0,0,0,
8,9,3,2.7,
9,0,0,0,
10,0,0,0,
11,3,0,0.0,
12,0,0,0,
13,0,0,0,
14,3,1,2.78,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,7,5,6.25,
23,25,11,2.91,
24,0,0,0,
25,0,0,0,
26,0,0,0,
