Satan

Appearanes,10

Top Episodes
Episode,Lines,Rating
Probably,61,8.2
Do the Handicapped Go to Hell,50,8.3
Hell on Earth 2006,33,8
Freemium Isnt Free,16,8.1
Best Friends Forever,15,8.5
Damien,15,7.9
Mr Hankeys Christmas Classics,12,7.3
Nobody Got Cereal,11,7.7
Time To Get Cereal,10,7.7
The Mexican Staring Frog of Southern Sri Lanka,2,7.6
Average

Top Profanities
Profanity,Count
god,19
hell,9
shit,5
pussy,3
fuckin,2
hitler,2
screw,1
stupid,1
sex,1
fuck,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,15,3,1.95,
2,2,0,0.0,
3,12,2,2.35,
4,111,24,1.93,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,15,3,2.22,
10,33,7,0.96,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,16,14,3.42,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,21,1,0.34,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
