Scott Malkinson

Appearanes,16

Top Episodes
Episode,Lines,Rating
Scott Tenorman Must Die,74,9.6
Terrance and Phillip in Not Without My Anus,66,6.3
Basic Cable,64,7.7
Royal Pudding,18,6.7
Skank Hunt,17,8.1
South Park Post Covid The Return of Covid,15,7.5
A Song of Ass and Fire,13,8.8
Its Christmas in Canada,13,7.6
South ParQ Vaccination Special,13,7.5
South Park Post Covid,9,7.5
Average

Top Profanities
Profanity,Count
god,12
pubes,10
dick,9
fart,8
shit,5
stupid,5
hell,4
asshole,3
assholes,2
fuck,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,66,20,2.68,
3,0,0,0,
4,0,0,0,
5,74,22,3.08,
6,1,0,0.0,
7,13,6,3.66,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,1,0,0.0,
12,6,0,0.0,
13,2,0,0.0,
14,0,0,0,
15,18,17,6.18,
16,0,0,0,
17,13,2,2.82,
18,3,0,0.0,
19,0,0,0,
20,17,1,0.47,
21,1,0,0.0,
22,0,0,0,
23,71,12,2.03,
24,37,3,0.58,
25,0,0,0,
26,4,1,2.08,
