Sharon Marsh

Appearanes,108

Top Episodes
Episode,Lines,Rating
Crème Fraiche,50,8.2
Clubhouses,45,7.9
Dead Kids,44,8
Spookyfish,39,8.4
The Pandemic Special,38,8.3
Chickenpox,35,8
Youre Getting Old,30,8.5
Broadway Bro Down,29,7.8
Chinpokomon,27,8.7
More Crap,21,8.1
Average

Top Profanities
Profanity,Count
god,34
hell,12
stupid,11
crap,8
sexual,3
ass,3
damn,3
fucking,3
weed,3
penis,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,14,0,0.0,
2,146,9,0.61,
3,44,5,1.09,
4,57,4,0.7,
5,37,5,1.35,
6,95,10,1.13,
7,27,4,1.33,
8,37,4,1.08,
9,38,3,1.0,
10,10,1,1.43,
11,27,5,2.45,
12,47,5,1.16,
13,25,4,1.23,
14,102,4,0.45,
15,63,19,2.22,
16,35,2,0.44,
17,26,7,2.99,
18,42,5,1.3,
19,29,2,0.78,
20,4,2,3.03,
21,30,1,0.34,
22,55,12,1.79,
23,24,2,0.62,
24,44,7,1.69,
25,25,0,0.0,
26,28,1,0.51,
