Sheila Broflovski

Appearanes,83

Top Episodes
Episode,Lines,Rating
Chickenpox,44,8
Ikes Wee Wee,33,8
Conjoined Fetus Lady,31,7.7
The Entity,29,8.2
Turd Burglars,29,7.5
Death,27,8
Wieners Out,23,7.9
Mr Hankeys Christmas Classics,23,7.3
The End of Serialization as We Know It,21,7.1
Mr Hankey the Christmas Poo,19,8.1
Average

Top Profanities
Profanity,Count
god,27
hell,8
pee,4
porn,4
sex,3
fuck,2
bitch,2
fuckin,2
smut,1
ass,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,49,6,1.23,
2,124,6,0.48,
3,73,4,0.74,
4,51,6,1.36,
5,58,7,1.04,
6,51,6,1.17,
7,38,2,0.56,
8,6,1,2.13,
9,24,0,0.0,
10,27,1,0.46,
11,13,1,1.02,
12,18,4,4.04,
13,8,2,2.38,
14,25,10,2.26,
15,1,1,9.09,
16,14,3,1.9,
17,4,0,0.0,
18,6,0,0.0,
19,5,0,0.0,
20,83,13,1.33,
21,1,0,0.0,
22,0,0,0,
23,37,3,0.69,
24,2,0,0.0,
25,1,0,0.0,
26,1,0,0.0,
