Shelly Marsh

Appearanes,23

Top Episodes
Episode,Lines,Rating
Cat Orgy,82,7.9
Tegridy Farms Halloween Special,22,7.1
Over Logging,17,8.6
An Elephant Makes Love to a Pig,12,7.5
Broadway Bro Down,11,7.8
The New Terrance and Phillip Movie Trailer,10,8
PreSchool,8,8.4
Chickenpox,7,8
A Nightmare on Face Time,6,8.3
Death,6,8
Average

Top Profanities
Profanity,Count
turd,35
stupid,16
turds,10
kill,7
hell,5
god,4
ass,3
shit,2
tampons,2
queef,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,18,7,6.36,
2,11,0,0.0,
3,83,30,4.39,
4,2,2,20.0,
5,0,0,0,
6,12,15,11.72,
7,5,4,17.39,
8,10,13,13.27,
9,2,1,12.5,
10,1,0,0.0,
11,1,0,0.0,
12,25,4,2.26,
13,1,1,7.69,
14,0,0,0,
15,11,1,1.25,
16,6,1,3.12,
17,0,0,0,
18,10,1,0.81,
19,7,2,3.57,
20,2,3,13.04,
21,1,1,14.29,
22,0,0,0,
23,29,7,3.02,
24,3,0,0.0,
25,0,0,0,
26,1,0,0.0,
