Stephen Stotch

Appearanes,79

Top Episodes
Episode,Lines,Rating
Back To The Cold War,27,6.6
The Magic Bush,26,7.9
Christmas Snow,24,7.6
Unfulfilled,23,7.6
Marjorine,21,8.8
Asspen,20,8.3
The Ungroundable,19,7.7
Grounded Vindaloop,17,9.1
Sons A Witches,17,7.3
Cartman Sucks,15,8.9
Average

Top Profanities
Profanity,Count
god,11
hell,9
penis,7
weed,7
damn,5
sex,4
fuck,4
gay,4
crap,3
bitch,3

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,1,0,0.0,
5,7,2,3.17,
6,72,9,1.34,
7,13,1,0.7,
8,12,0,0.0,
9,51,2,0.36,
10,8,0,0.0,
11,38,6,1.56,
12,49,11,1.94,
13,14,2,1.37,
14,13,1,0.86,
15,14,1,0.81,
16,38,9,1.14,
17,6,2,2.7,
18,59,1,0.1,
19,20,2,0.37,
20,25,4,1.22,
21,30,5,0.98,
22,66,5,0.45,
23,62,10,1.61,
24,19,3,1.15,
25,29,8,1.9,
26,12,0,0.0,
