Stuart McCormick

Appearanes,28

Top Episodes
Episode,Lines,Rating
Cartman Joins NAMBLA,25,9
Chickenpox,24,8
Cripple Fight,11,8.3
Mysterion Rises,9,8.3
The City Part of Town,9,7.6
Naughty Ninjas,8,8.2
Im a Little Bit Country,8,8
A Ladder to Heaven,7,8.7
Best Friends Forever,7,8.5
Chickenlover,7,8
Average

Top Profanities
Profanity,Count
god,10
hell,8
damn,4
bitch,4
shit,3
drunk,3
ass,3
stupid,2
cock,2
fuck,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,2,2,3.28,
2,35,11,3.05,
3,8,1,1.41,
4,26,10,3.01,
5,15,2,1.65,
6,8,1,1.11,
7,12,3,2.44,
8,0,0,0,
9,7,1,1.33,
10,0,0,0,
11,5,0,0.0,
12,0,0,0,
13,1,0,0.0,
14,12,5,3.55,
15,4,1,4.0,
16,3,1,2.5,
17,2,1,6.25,
18,7,3,11.11,
19,20,9,3.91,
20,0,0,0,
21,6,1,3.12,
22,14,1,0.55,
23,1,1,50.0,
24,0,0,0,
25,4,2,5.26,
26,0,0,0,
