Timmy

Appearanes,21

Top Episodes
Episode,Lines,Rating
Timmy 2000,41,8.1
Cripple Fight,40,8.3
Helen Keller The Musical,33,7.7
Up the Down Steroid,26,8.5
Krazy Kripples,25,8.2
Handicar,21,7.3
Fourth Grade,16,8.1
The Tooth Fairy Tats 2000,9,8.2
Probably,7,8.2
Something You Can Do with Your Finger,5,8
Average

Top Profanities
Profanity,Count
god,1
shit,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,122,0,0.0,
5,45,1,1.33,
6,5,0,0.0,
7,26,0,0.0,
8,27,0,0.0,
9,3,0,0.0,
10,1,0,0.0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,5,0,0.0,
15,6,0,0.0,
16,1,0,0.0,
17,0,0,0,
18,21,0,0.0,
19,0,0,0,
20,0,0,0,
21,3,0,0.0,
22,0,0,0,
23,2,0,0.0,
24,2,1,20.0,
25,0,0,0,
26,0,0,0,
