Tolkein Black

Appearanes,48

Top Episodes
Episode,Lines,Rating
Here Comes the Neighborhood,64,8
South Park The Streaming Wars Part 2,39,6.6
Cupid Ye,35,7.3
Cartman Finds Love,28,8
South Park The Streaming Wars,27,6.7
South Park Post Covid,21,7.5
World War Zimmerman,20,7.7
Raising the Bar,17,8.1
The Big Fix,17,8
South Park Post Covid The Return of Covid,17,7.5
Average

Top Profanities
Profanity,Count
hell,8
god,7
fucking,6
fuck,5
fat,4
ass,4
pissed,2
weed,2
damn,2
kills,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,2,1,14.29,
4,15,7,7.07,
5,65,4,0.65,
6,14,2,0.98,
7,16,5,4.13,
8,19,0,0.0,
9,24,1,0.48,
10,4,0,0.0,
11,24,1,0.55,
12,1,1,25.0,
13,6,0,0.0,
14,0,0,0,
15,15,2,2.47,
16,46,4,0.97,
17,22,7,5.56,
18,2,1,5.26,
19,14,4,2.68,
20,10,0,0.0,
21,18,2,1.92,
22,17,3,2.36,
23,3,0,0.0,
24,39,3,0.54,
25,84,7,0.88,
26,43,2,0.64,
