Towelie

Appearanes,15

Top Episodes
Episode,Lines,Rating
A Million Little Fibers,50,6.2
Towelie,45,8.3
Crippled Summer,35,6.8
Tegridy Farms Halloween Special,19,7.1
Let Them Eat Goo,10,7.9
Bike Parade,9,7.6
Shots,9,7.5
Mexican Joker,9,7.4
Tegridy Farms,8,7.8
Christmas Snow,7,7.6
Average

Top Profanities
Profanity,Count
weed,12
fuck,7
shit,6
god,4
asshole,4
fuckin,3
bitch,3
stupid,3
screwed,2
dick,2

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,51,5,1.23,
6,3,0,0.0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,50,3,0.48,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,35,21,5.57,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,17,10,4.44,
23,56,15,2.85,
24,0,0,0,
25,11,2,2.15,
26,0,0,0,
