Tweek Tweak

Appearanes,19

Top Episodes
Episode,Lines,Rating
Free Hat,57,8.2
Put It Down,54,8
Gnomes,44,8.3
Tweek vs Craig,39,7.6
Tweek x Craig,37,8.1
Child Abduction is Not Funny,34,8.5
The Simpsons Already Did It,28,8.8
Splatty Tomato,7,7.2
Red Hot Catholic Love,5,8.2
South Park Post Covid,5,7.5
Average

Top Profanities
Profanity,Count
god,30
kill,5
shit,3
fuckin,2
hell,2
gay,1
penis,1
pawn,1
sucks,1
stupid,1

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,0,0,0,
2,44,0,0.0,
3,40,2,1.48,
4,1,0,0.0,
5,3,0,0.0,
6,133,27,2.61,
7,0,0,0,
8,0,0,0,
9,1,0,0.0,
10,4,0,0.0,
11,0,0,0,
12,0,0,0,
13,2,0,0.0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,3,0,0.0,
18,0,0,0,
19,37,8,2.31,
20,0,0,0,
21,65,11,1.76,
22,1,0,0.0,
23,0,0,0,
24,7,1,1.61,
25,0,0,0,
26,0,0,0,
