Wendy Testaburger

Appearanes,52

Top Episodes
Episode,Lines,Rating
Toms Rhinoplasty,63,7.9
The Hobbit,60,8.4
Breast Cancer Show Ever,55,8.7
Chef Goes Nanners,43,8.2
Weight Gain 4000,30,7.5
The List,29,8.5
Dances with Smurfs,28,8.1
Stupid Spoiled Whore Video Playset,27,8.4
Deep Learning,25,8.3
Clubhouses,23,7.9
Average

Top Profanities
Profanity,Count
god,16
stupid,10
ass,8
fat,6
fuck,6
slut,6
fucking,4
yaoi,4
kill,3
shit,3

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,145,15,1.42,
2,40,4,1.32,
3,7,0,0.0,
4,62,4,0.66,
5,10,3,3.0,
6,22,12,6.59,
7,3,1,2.78,
8,28,9,3.64,
9,15,2,1.33,
10,1,0,0.0,
11,29,1,0.22,
12,75,18,3.05,
13,40,17,3.24,
14,18,1,0.36,
15,11,1,0.82,
16,3,0,0.0,
17,68,11,1.25,
18,31,2,0.53,
19,9,4,2.76,
20,12,1,0.93,
21,8,3,3.85,
22,2,1,3.57,
23,4,0,0.0,
24,42,4,0.63,
25,18,1,0.47,
26,25,0,0.0,
