Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,51,435,12,"{'sucks': 2, 'fart': 2, 'god': 2, 'fat': 1, 'ass': 1, 'hell': 1, 'crap': 1, 'damn': 1, 'goddammit': 1}",2.76
cartman,46,678,12,"{'ass': 3, 'hell': 3, 'bitch': 2, 'weirdo': 1, 'fart': 1, 'crap': 1, 'stupid': 1}",1.77
jesus,40,360,1,{'hell': 1},0.28
kyle,40,242,5,"{'ass': 1, 'damn': 1, 'weirdo': 1, 'fart': 1, 'bastard': 1}",2.07
damien,27,275,3,"{'hell': 1, 'kill': 1, 'fat': 1}",1.09
chef,22,166,2,"{'crap': 1, 'god': 1}",1.2
mr garrison,17,192,3,"{'ass': 1, 'poop': 1, 'screwed': 1}",1.56
satan,15,154,3,"{'god': 1, 'sissy': 1, 'hell': 1}",1.95
pip,14,179,1,{'fat': 1},0.56
jimbo,12,111,3,"{'hells': 1, 'asses': 1, 'jerk': 1}",2.7
ominous voice,12,32,9,{'rectus': 9},28.12
father maxi,10,110,2,"{'ass': 1, 'hell': 1}",1.82
commercial,5,46,0,{},0.0
mr mackey,4,105,0,{},0.0
michael buffer,4,64,0,{},0.0
referee,4,25,0,{},0.0
kenny,4,14,1,{'bitch': 1},7.14
liane,3,9,0,{},0.0
announcer,2,17,0,{},0.0
bebe,2,12,0,{},0.0
stan kyle,2,3,0,{},0.0
don king,1,51,0,{},0.0
reporter 2,1,12,0,{},0.0
reporter 1,1,11,0,{},0.0
groundskeeper,1,9,1,{'bastards': 1},11.11
clyde,1,9,0,{},0.0
roland,1,5,0,{},0.0
man 2,1,5,0,{},0.0
mr allen,1,3,1,{'gay': 1},33.33
man 1,1,3,0,{},0.0
ominous vocie,1,2,1,{'rectus': 1},50.0
red,1,2,0,{},0.0
blonde,1,2,0,{},0.0
ned,1,2,0,{},0.0
man in crowd,1,1,1,{'damn': 1},100.0
damien thorn,1,1,0,{},0.0
mr mcdonald,1,1,0,{},0.0
