Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
ms ellen,64,455,1,{'god': 1},0.22
wendy,63,480,5,"{'fuck': 2, 'ass': 2, 'bitch': 1}",1.04
stan,51,276,6,"{'ass': 2, 'lesbians': 2, 'hell': 1, 'god': 1}",2.17
mr garrison,35,312,6,"{'damn': 2, 'herpes': 1, 'goddamned': 1, 'screw': 1, 'hell': 1}",1.92
cartman,35,292,7,"{'ass': 2, 'stupid': 1, 'slut': 1, 'damn': 1, 'crap': 1, 'hell': 1}",2.4
kyle,29,170,8,"{'ass': 3, 'fat': 2, 'lesbians': 1, 'screw': 1, 'bastard': 1}",4.71
chef,21,233,1,{'lesbians': 1},0.43
tom,18,220,1,{'ugly': 1},0.45
principal victoria,12,136,0,{},0.0
korashki,5,59,1,{'kill': 1},1.69
mrs campbell,5,36,0,{},0.0
bebe,5,31,0,{},0.0
kenny,4,40,3,"{'damn': 2, 'ass': 1}",7.5
photographer,4,27,0,{},0.0
mr hat,4,24,0,{},0.0
leader,3,28,0,{},0.0
female singer,3,18,0,{},0.0
iraqi,3,10,0,{},0.0
montage,2,25,0,{},0.0
clyde,2,5,0,{},0.0
indiglo girls singer,1,8,0,{},0.0
woman,1,5,1,{'god': 1},20.0
chef falsetto,1,5,0,{},0.0
stan kyle,1,1,0,{},0.0
class,1,1,0,{},0.0
