Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,79,627,23,"{'gay': 15, 'ass': 3, 'damn': 2, 'stupid': 2, 'crap': 1}",3.67
jimbo,41,354,7,"{'asses': 2, 'hell': 2, 'god': 1, 'damn': 1, 'hells': 1}",1.98
chef,35,308,5,"{'gay': 2, 'ass': 1, 'damn': 1, 'hell': 1}",1.62
kyle,34,171,5,"{'ass': 1, 'gay': 1, 'damn': 1, 'god': 1, 'bastards': 1}",2.92
cartman,30,244,17,"{'ass': 6, 'gay': 5, 'homo': 3, 'hell': 1, 'stupid': 1, 'god': 1}",6.97
frank,28,329,0,{},0.0
big gay al,27,331,16,"{'gay': 14, 'nazis': 1, 'gays': 1}",4.83
mr garrison,21,271,9,"{'gay': 3, 'hell': 2, 'nazi': 1, 'queer': 1, 'dumbass': 1, 'screws': 1}",3.32
pip,9,71,0,{},0.0
carl,8,38,0,{},0.0
ned,8,25,0,{},0.0
richard,6,20,0,{},0.0
jesus,5,51,0,{},0.0
mr hat,4,39,1,{'hell': 1},2.56
phil,4,25,0,{},0.0
fosse,4,21,3,{'gay': 3},14.29
sparky,4,5,0,{},0.0
robert,3,58,0,{},0.0
bill,3,29,2,"{'stupid': 1, 'gay': 1}",6.9
clyde,3,25,1,{'god': 1},4.0
kenny,3,20,5,"{'god': 1, 'screwing': 1, 'penis': 1, 'gay': 1, 'suck': 1}",25.0
cowboys,3,14,2,{'kill': 2},14.29
tv announcer,2,29,0,{},0.0
bookie,2,17,0,{},0.0
vocalist,2,9,2,{'gay': 2},22.22
townsman,2,6,0,{},0.0
crowd,2,3,0,{},0.0
jesus christ,1,32,0,{},0.0
frank hammond,1,27,0,{},0.0
townsman 1,1,16,0,{},0.0
gambler 2,1,15,0,{},0.0
gambler 3,1,11,0,{},0.0
gambler 1,1,10,0,{},0.0
townswoman,1,10,0,{},0.0
rex,1,8,0,{},0.0
female gambler 2,1,8,0,{},0.0
gambler 4,1,7,0,{},0.0
cowboy 2,1,7,0,{},0.0
boat ride singers,1,6,1,{'gay': 1},16.67
female gambler 1,1,6,0,{},0.0
cowboy 1,1,4,0,{},0.0
referee,1,2,0,{},0.0
audience member,1,2,0,{},0.0
richard stamos,1,2,0,{},0.0
townsperson 2,1,1,1,{'willy': 1},100.0
sylvester,1,1,0,{},0.0
gay lion,1,1,0,{},0.0
huddle,1,1,0,{},0.0
cowboy,1,1,0,{},0.0
townsperson 1,1,1,0,{},0.0
townsperson 3,1,1,0,{},0.0
enrique,1,1,0,{},0.0
