Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,64,580,17,"{'pot': 3, 'god': 2, 'drunk': 2, 'sucks': 1, 'poop': 1, 'retarded': 1, 'stupid': 1, 'hell': 1, 'fat': 1, 'retard': 1, 'ass': 1, 'sex': 1, 'bastards': 1}",2.93
stan,59,540,12,"{'pissed': 1, 'bitch': 1, 'fucker': 1, 'asses': 1, 'hell': 1, 'crap': 1, 'damn': 1, 'drunk': 1, 'ugly': 1, 'sex': 1, 'god': 1, 'ass': 1}",2.22
cartman,41,468,23,"{'ass': 10, 'crap': 2, 'stupid': 2, 'bitch': 1, 'pot': 1, 'poop': 1, 'sissy': 1, 'god': 1, 'hell': 1, 'piss': 1, 'sex': 1, 'fuckin': 1}",4.91
mephesto,27,422,5,"{'god': 2, 'asses': 1, 'ass': 1, 'gods': 1}",1.18
chef,24,259,5,"{'drunk': 4, 'fat': 1}",1.93
mr garrison,20,274,4,"{'pot': 1, 'ass': 1, 'hell': 1, 'weed': 1}",1.46
terrance,15,163,7,"{'stupid': 4, 'asses': 1, 'morons': 1, 'bastards': 1}",4.29
clone stan,14,48,0,{},0.0
shelly,11,70,2,"{'kill': 1, 'hell': 1}",2.86
kenny,6,45,1,{'breasts': 1},2.22
pip,6,39,0,{},0.0
jesus,4,27,0,{},0.0
bill,4,17,4,"{'gay': 3, 'stupid': 1}",23.53
mr hat,3,60,1,{'gods': 1},1.67
ms crabtree,3,29,0,{},0.0
randy,3,22,1,{'gods': 1},4.55
fosse,3,10,4,"{'stupid': 3, 'gay': 1}",40.0
officer barbrady,2,30,0,{},0.0
jimbo,2,30,0,{},0.0
tv voice,2,18,0,{},0.0
monkey,2,2,0,{},0.0
tom,1,51,0,{},0.0
tv newscaster,1,27,1,{'kill': 1},3.7
sharon marsh,1,16,0,{},0.0
jewish kid,1,7,1,{'anus': 1},14.29
bebe,1,6,1,{'pot': 1},16.67
sharon,1,6,0,{},0.0
hat,1,6,0,{},0.0
robert,1,4,0,{},0.0
dr alphonse mephesto,1,4,0,{},0.0
jason,1,4,0,{},0.0
kid 1,1,4,0,{},0.0
clyde,1,4,0,{},0.0
woman,1,3,0,{},0.0
terrance mephesto,1,2,1,{'stupid': 1},50.0
elton john,1,2,0,{},0.0
kid 2,1,2,0,{},0.0
shelly marsh,1,1,0,{},0.0
boys,1,1,0,{},0.0
townsman,1,1,0,{},0.0
