Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,70,435,7,"{'bitch': 2, 'fat': 1, 'fatass': 1, 'stupid': 1, 'hell': 1, 'damn': 1}",1.61
cartman,31,251,9,"{'bitch': 3, 'hell': 2, 'fat': 1, 'stupid': 1, 'bastard': 1, 'screw': 1}",3.59
mr garrison,29,328,4,"{'hell': 1, 'weirdo': 1, 'god': 1, 'crap': 1}",1.22
stan,29,224,3,"{'pissed': 1, 'sucks': 1, 'fucked': 1}",1.34
mr hankey,28,241,0,{},0.0
sheila,19,154,3,"{'hell': 2, 'god': 1}",1.95
mr mackey,13,193,4,"{'screwed': 2, 'kill': 1, 'god': 1}",2.07
gerald,12,101,0,{},0.0
chef,10,62,1,{'kill': 1},1.61
mayor mcdaniels,9,102,0,{},0.0
wendy,9,26,0,{},0.0
researcher,7,57,2,"{'stupid': 1, 'wop': 1}",3.51
kenny,7,24,1,{'fucking': 1},4.17
townsfolk,5,26,0,{},0.0
mc,4,67,0,{},0.0
father maxi,4,48,2,"{'god': 1, 'crap': 1}",4.17
uncle jimbo,3,32,0,{},0.0
man 1,3,23,0,{},0.0
nurse,3,4,0,{},0.0
voice over,2,20,0,{},0.0
crowd,2,4,0,{},0.0
officer barbrady,2,2,0,{},0.0
woman,2,2,0,{},0.0
voice,2,2,0,{},0.0
large woman,1,20,0,{},0.0
mr mackey jr,1,19,0,{},0.0
tree hugger,1,13,0,{},0.0
gerald broflovski,1,12,0,{},0.0
artsy man,1,11,0,{},0.0
his date,1,10,0,{},0.0
the mayor,1,9,2,"{'god': 1, 'hell': 1}",22.22
ike,1,8,0,{},0.0
jesus,1,8,0,{},0.0
class,1,6,0,{},0.0
mr pirrip,1,6,0,{},0.0
elderly tree hugger,1,5,1,{'bastards': 1},20.0
man 2,1,4,0,{},0.0
assistant 1,1,4,0,{},0.0
santa claus,1,4,0,{},0.0
man in audience,1,3,1,{'damn': 1},33.33
some men,1,2,0,{},0.0
janitor 2,1,2,0,{},0.0
randy marsh,1,2,0,{},0.0
man,1,1,0,{},0.0
students,1,1,0,{},0.0
cartman stan,1,1,0,{},0.0
