Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
chef,45,233,8,"{'asshole': 2, 'sexual': 1, 'rectum': 1, 'ass': 1, 'god': 1, 'damn': 1, 'hell': 1}",3.43
kyle,44,471,10,"{'fatass': 2, 'bastards': 2, 'weirdo': 1, 'goddammit': 1, 'sex': 1, 'molest': 1, 'hell': 1, 'retarded': 1}",2.12
stan,43,257,4,"{'sex': 3, 'retarded': 1}",1.56
mr connolly,32,746,12,"{'sex': 6, 'retarded': 2, 'molest': 1, 'erect': 1, 'penis': 1, 'god': 1}",1.61
cartman,22,164,6,"{'bitch': 3, 'sex': 1, 'boobs': 1, 'crap': 1}",3.66
dr neeland,11,101,1,{'sex': 1},0.99
det jarvis,9,111,1,{'pedophile': 1},0.9
randy,6,105,0,{},0.0
kenny,5,35,1,{'shit': 1},2.86
mrs garrison,4,43,0,{},0.0
the boys,4,5,0,{},0.0
darth chef,3,30,1,{'suck': 1},3.33
clyde,3,26,1,{'sex': 1},3.85
butler,3,17,0,{},0.0
dj,2,46,0,{},0.0
head adventurer,2,37,0,{},0.0
gerald,2,22,0,{},0.0
jimbo,2,15,0,{},0.0
marksman,2,13,1,{'sex': 1},7.69
william,2,13,1,{'sex': 1},7.69
butters,2,11,1,{'pedophile': 1},9.09
blaze,2,9,0,{},0.0
mr mackey,2,4,0,{},0.0
mayor mcdaniels,1,18,0,{},0.0
townsfolk,1,16,0,{},0.0
a boy,1,14,0,{},0.0
drneeland,1,11,0,{},0.0
guard 2,1,10,0,{},0.0
marine,1,6,0,{},0.0
guard 1,1,5,0,{},0.0
tech,1,5,0,{},0.0
patrons,1,4,0,{},0.0
nurse,1,4,0,{},0.0
woman,1,3,1,{'god': 1},33.33
a man,1,3,0,{},0.0
a sign holder,1,3,0,{},0.0
blonde,1,3,0,{},0.0
spontaneous bootay,1,3,0,{},0.0
club members,1,2,0,{},0.0
the class,1,1,0,{},0.0
