Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,67,823,19,"{'bitch': 4, 'fuck': 2, 'kill': 2, 'pee': 2, 'butthole': 1, 'suck': 1, 'punkass': 1, 'faggot': 1, 'god': 1, 'damn': 1, 'boner': 1, 'titties': 1, 'slut': 1}",2.31
kyle,51,522,9,"{'sex': 4, 'hell': 2, 'god': 1, 'pee': 1, 'crap': 1}",1.72
miss stevenson,30,389,1,{'god': 1},0.26
ike,18,70,0,{},0.0
yates,13,115,1,{'god': 1},0.87
teacher,12,266,1,{'sex': 1},0.38
sheila,12,105,1,{'sex': 1},0.95
foley,9,53,2,{'sex': 2},3.77
principal victoria,7,75,0,{},0.0
butters,7,33,2,{'tinkle': 2},6.06
officer 1,4,23,2,"{'oral': 1, 'sex': 1}",8.7
randy,4,18,0,{},0.0
boy,4,14,0,{},0.0
stan,4,14,0,{},0.0
leeroy,3,26,0,{},0.0
hall monitor,3,25,0,{},0.0
officer 5,3,22,0,{},0.0
receptionist,3,17,0,{},0.0
mr mackey,2,49,0,{},0.0
therapist,2,34,1,{'sexual': 1},2.94
jimbo,2,14,1,{'sex': 1},7.14
officer 6,2,14,0,{},0.0
bellboy,2,13,0,{},0.0
reporter,1,57,1,{'damn': 1},1.75
officer 8,1,11,0,{},0.0
lawyer,1,10,0,{},0.0
head concierge,1,10,0,{},0.0
print reporter,1,8,0,{},0.0
officers,1,8,0,{},0.0
earl,1,8,0,{},0.0
reo speedwagon,1,7,0,{},0.0
mitch,1,6,1,{'ugly': 1},16.67
det yates,1,6,1,{'crap': 1},16.67
fillmore,1,6,0,{},0.0
class,1,6,0,{},0.0
guest 2,1,6,0,{},0.0
car salesman,1,5,0,{},0.0
man 3,1,5,0,{},0.0
officer 4,1,4,0,{},0.0
officer 7,1,4,0,{},0.0
officer 3,1,3,0,{},0.0
kenny,1,1,0,{},0.0
man 1,1,1,0,{},0.0
man 2,1,1,0,{},0.0
officer 2,1,1,0,{},0.0
guest 1,1,1,0,{},0.0
