Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,77,711,6,"{'asshole': 1, 'pee': 1, 'goddammit': 1, 'kill': 1, 'stupid': 1, 'crap': 1}",0.84
nelson,19,150,1,{'god': 1},0.67
randy,15,262,2,{'pee': 2},0.76
judge,12,332,4,{'pee': 4},1.2
announcer,8,185,4,{'pee': 4},2.16
 6,8,61,2,"{'kill': 1, 'hell': 1}",3.28
 7,7,44,0,{},0.0
mr brown,6,130,0,{},0.0
gavin,6,72,1,{'kill': 1},1.39
 8,6,27,2,"{'potty': 1, 'kill': 1}",7.41
dr doctor,5,78,0,{},0.0
official,5,47,1,{'pee': 1},2.13
 3,5,40,0,{},0.0
sharon,5,24,0,{},0.0
park county,4,7,0,{},0.0
kyle,3,43,0,{},0.0
av 1,3,32,1,{'hell': 1},3.12
driver,3,32,0,{},0.0
mr jarvis,3,30,1,{'pussy': 1},3.33
fans,3,26,0,{},0.0
adams county,3,25,0,{},0.0
 10,3,21,1,{'kill': 1},4.76
 15,3,12,0,{},0.0
coach,2,31,0,{},0.0
mrs brown,2,20,0,{},0.0
 13,2,6,0,{},0.0
editor,1,13,0,{},0.0
a man,1,9,0,{},0.0
denver goalie,1,8,0,{},0.0
av 3,1,7,0,{},0.0
a red wing,1,7,0,{},0.0
woman,1,6,0,{},0.0
former coach,1,5,0,{},0.0
morgan,1,3,0,{},0.0
the avs,1,3,0,{},0.0
man,1,3,0,{},0.0
ike,1,3,0,{},0.0
red wings coach,1,3,0,{},0.0
crowd,1,1,0,{},0.0
av 2,1,1,0,{},0.0
denver fans,1,1,0,{},0.0
