Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,52,369,16,"{'god': 2, 'fatass': 2, 'retard': 2, 'hell': 2, 'fuck': 2, 'retards': 1, 'stupid': 1, 'crap': 1, 'retarded': 1, 'kill': 1, 'urinal': 1}",4.34
stan,30,304,5,"{'urinal': 2, 'god': 1, 'stupid': 1, 'pissed': 1}",1.64
cartman,18,556,3,"{'retards': 1, 'urinal': 1, 'butthole': 1}",0.54
mr mackey,15,686,18,"{'urinal': 15, 'poop': 1, 'goddamned': 1, 'turd': 1}",2.62
frank,15,110,1,{'retarded': 1},0.91
911truth man,14,196,2,{'kill': 2},1.02
bush,13,299,2,"{'kill': 1, 'retarded': 1}",0.67
joe,11,85,0,{},0.0
mr hardly,7,145,0,{},0.0
butters,7,52,1,{'urinal': 1},1.92
mrs garrison,5,62,0,{},0.0
sheila,5,41,0,{},0.0
bearded man,4,59,1,{'urinal': 1},1.69
officer 1,3,56,1,{'urinal': 1},1.79
det yates,3,45,0,{},0.0
narrator,2,46,2,"{'urinal': 1, 'turd': 1}",4.35
skeeter,2,36,0,{},0.0
principal victoria,2,23,0,{},0.0
randy,2,16,0,{},0.0
other men,2,13,3,"{'god': 2, 'retarded': 1}",23.08
rumsfeld,2,9,0,{},0.0
clyde,2,4,0,{},0.0
leroy,1,25,0,{},0.0
man,1,21,0,{},0.0
mr adler,1,16,0,{},0.0
jimmy,1,15,1,{'urinal': 1},6.67
jimbo,1,13,1,{'turd': 1},7.69
mr donovan,1,7,0,{},0.0
richard,1,6,0,{},0.0
donald rumsfeld,1,5,0,{},0.0
cheney,1,4,0,{},0.0
man 1,1,1,0,{},0.0
man 2,1,1,0,{},0.0
