Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,40,629,0,{},0.0
stan,22,279,3,"{'stupid': 1, 'goddamn': 1, 'hell': 1}",1.08
cartman,22,260,6,"{'shit': 2, 'hell': 2, 'fucking': 1, 'fuckin': 1}",2.31
mr nelson,21,332,4,"{'hell': 1, 'fucking': 1, 'ass': 1, 'crap': 1}",1.2
tolkien,16,153,0,{},0.0
pat sajak,10,115,0,{},0.0
skeeter,10,95,2,"{'damn': 1, 'goddamn': 1}",2.11
jesse jackson,9,66,0,{},0.0
richards,7,125,1,{'damn': 1},0.8
kyle,6,42,0,{},0.0
passenger,6,40,0,{},0.0
driver,5,51,1,{'bitch': 1},1.96
comedian,4,145,2,"{'kill': 1, 'damn': 1}",1.38
senator 1,4,27,0,{},0.0
principal victoria,3,38,0,{},0.0
mr mackey,3,23,0,{},0.0
butters,3,17,0,{},0.0
woman,2,93,0,{},0.0
fuhrman,2,69,0,{},0.0
senator 3,2,34,0,{},0.0
field reporter,2,33,1,{'damn': 1},3.03
clerk,2,15,0,{},0.0
senator 4,2,11,0,{},0.0
jimbo,2,4,0,{},0.0
senator 2,1,21,0,{},0.0
sharon,1,11,0,{},0.0
craig,1,9,0,{},0.0
announcer,1,7,0,{},0.0
man 3,1,7,0,{},0.0
scott,1,7,0,{},0.0
black man,1,5,0,{},0.0
brian,1,4,0,{},0.0
man 2,1,4,0,{},0.0
three kids,1,4,0,{},0.0
audience,1,3,0,{},0.0
man 4,1,3,0,{},0.0
man 5,1,3,0,{},0.0
man 1,1,2,0,{},0.0
kids,1,2,0,{},0.0
stephen,1,1,0,{},0.0
most senators,1,1,0,{},0.0
