Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
general deckter,37,440,4,"{'fucking': 1, 'god': 1, 'hell': 1, 'suck': 1}",0.91
cartman,27,503,6,"{'suck': 3, 'goddamn': 1, 'sucking': 1, 'goddammit': 1}",1.19
kyle,22,170,2,"{'goddamned': 1, 'goddammit': 1}",1.18
butters,18,165,1,{'pissed': 1},0.61
stan,16,105,1,{'stupid': 1},0.95
lead tech,12,116,0,{},0.0
kurt russell,9,149,4,{'raping': 4},2.68
fanciful mayor,9,109,2,"{'stupid': 1, 'fucking': 1}",1.83
perseus,8,80,0,{},0.0
snarf,7,61,1,{'god': 1},1.64
lollipop king,7,60,0,{},0.0
squirrelly squirrel,6,89,2,{'kill': 2},2.25
aslan,5,73,0,{},0.0
tom,5,69,0,{},0.0
specialist,5,57,0,{},0.0
the minotaur,5,39,1,{'kill': 1},2.56
paramedic,5,22,1,{'suck': 1},4.55
beary bear,3,47,4,"{'pee': 2, 'kill': 1, 'rape': 1}",8.51
operator,3,37,0,{},0.0
stephen,3,22,0,{},0.0
stan kyle,3,8,0,{},0.0
morpheus,2,36,0,{},0.0
jesus,2,35,0,{},0.0
zeus,2,33,0,{},0.0
luke skywalker,2,30,0,{},0.0
freddy krueger,2,20,0,{},0.0
jason voorhees,2,18,0,{},0.0
secretary,2,18,0,{},0.0
beavery beaver,2,17,2,"{'rape': 1, 'pee': 1}",11.76
guard,2,13,0,{},0.0
strawberry shortcake,2,10,0,{},0.0
woodland critters,2,2,0,{},0.0
 deckter,1,16,0,{},0.0
creature from the black lagoon,1,15,0,{},0.0
glinda,1,15,0,{},0.0
deery deer,1,14,1,{'pee': 1},7.14
tech ,1,11,0,{},0.0
tech 5,1,11,0,{},0.0
orc,1,9,0,{},0.0
cinderella,1,8,0,{},0.0
headless horseman,1,7,0,{},0.0
tech 4,1,7,0,{},0.0
critter,1,6,0,{},0.0
tech 1,1,6,0,{},0.0
tech 3,1,6,0,{},0.0
manbearpig,1,5,0,{},0.0
rabbity rabbit,1,4,0,{},0.0
elderly woman,1,3,0,{},0.0
soldiers,1,2,0,{},0.0
a terrorist,1,1,0,{},0.0
the boys,1,1,0,{},0.0
terrorists,1,1,0,{},0.0
rockety rocket,1,1,0,{},0.0
techs,1,1,0,{},0.0
popeye,1,1,0,{},0.0
