Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,67,658,11,"{'stupid': 3, 'suck': 2, 'heroin': 1, 'screw': 1, 'assholes': 1, 'sex': 1, 'hell': 1, 'goddammit': 1}",1.67
kyle,34,321,2,"{'god': 1, 'ass': 1}",0.62
mr kincade,32,492,6,"{'heroin': 2, 'hell': 1, 'damn': 1, 'god': 1, 'goddammit': 1}",1.22
randy,14,101,1,{'stupid': 1},0.99
cartman,11,62,3,"{'gay': 1, 'god': 1, 'asshole': 1}",4.84
producer,10,143,2,"{'goddamned': 1, 'sex': 1}",1.4
brett,9,155,2,{'heroin': 2},1.29
butters,9,79,2,"{'heroin': 1, 'sex': 1}",2.53
thad,6,43,1,{'crap': 1},2.33
craig,6,34,0,{},0.0
mc,5,37,2,"{'suck': 1, 'fags': 1}",5.41
mick,4,85,0,{},0.0
the dragon,4,45,0,{},0.0
sharon,3,53,0,{},0.0
younger boy,2,29,0,{},0.0
mr hart,2,25,0,{},0.0
man,2,22,0,{},0.0
older boy,2,14,0,{},0.0
kansas,2,10,0,{},0.0
jay,2,8,0,{},0.0
tolkien,2,4,0,{},0.0
radio host,1,47,0,{},0.0
skid row,1,8,0,{},0.0
guest,1,7,0,{},0.0
the boys,1,7,0,{},0.0
male diner,1,5,0,{},0.0
jimmy,1,5,0,{},0.0
tom shane,1,4,0,{},0.0
stan kyle,1,1,0,{},0.0
