Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,30,353,9,"{'ugly': 3, 'god': 2, 'stupid': 1, 'screw': 1, 'kill': 1, 'shithead': 1}",2.55
stan,30,271,1,{'stupid': 1},0.37
wendy,29,458,1,{'god': 1},0.22
cartman,25,475,12,"{'pee': 3, 'screw': 2, 'bitch': 2, 'fuck': 2, 'fat': 1, 'fucked': 1, 'ugly': 1}",2.53
bebe,16,206,0,{},0.0
butters,15,163,2,"{'god': 1, 'ugly': 1}",1.23
clyde,11,113,1,{'ugly': 1},0.88
lola,9,121,0,{},0.0
craig,7,73,2,"{'fat': 1, 'ugly': 1}",2.74
abraham lincoln,6,268,6,"{'ugly': 3, 'douche': 1, 'fucking': 1, 'asshole': 1}",2.24
red,5,75,0,{},0.0
jenny,5,58,0,{},0.0
sheila,5,46,1,{'ugly': 1},2.17
kenny,3,11,0,{},0.0
girls,3,9,0,{},0.0
officer,2,29,0,{},0.0
big eared boy,2,26,0,{},0.0
nelly,2,16,2,"{'asshole': 1, 'buttholes': 1}",12.5
yamal,2,16,0,{},0.0
a voice,2,15,0,{},0.0
stephen,2,13,0,{},0.0
tolkien,2,11,0,{},0.0
bushy eyebrows boy,2,9,0,{},0.0
a boy,2,6,0,{},0.0
clerk,1,26,0,{},0.0
millie,1,22,0,{},0.0
blond girl,1,20,0,{},0.0
jerry,1,12,0,{},0.0
a girl,1,9,0,{},0.0
betsy,1,8,0,{},0.0
gerald,1,6,0,{},0.0
girl,1,6,0,{},0.0
linda,1,4,0,{},0.0
heidi,1,3,0,{},0.0
two girls,1,2,0,{},0.0
anne,1,2,0,{},0.0
fat girl,1,2,0,{},0.0
blonde boy,1,1,0,{},0.0
