Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,77,1463,25,"{'penis': 6, 'gay': 5, 'god': 3, 'tampon': 2, 'fuckin': 2, 'ass': 1, 'stupid': 1, 'shit': 1, 'crap': 1, 'pissed': 1, 'lens': 1, 'bitch': 1}",1.71
butters,50,407,2,{'god': 2},0.49
kyle,30,192,7,"{'gay': 4, 'stupid': 2, 'fatass': 1}",3.65
director,26,541,4,"{'god': 2, 'hell': 2}",0.74
bradley,17,181,5,"{'god': 3, 'gods': 1, 'kill': 1}",2.76
stephen,15,158,2,"{'god': 1, 'maxi': 1}",1.27
liane,14,131,1,{'penis': 1},0.76
det yates,9,67,3,"{'sucking': 1, 'penis': 1, 'screwed': 1}",4.48
stan,9,50,1,{'hell': 1},2.0
father maxi,3,63,1,{'god': 1},1.59
mrs garrison,3,39,1,{'hell': 1},2.56
sheila,3,7,0,{},0.0
campers,2,22,0,{},0.0
pastor phillips,1,73,2,{'god': 2},2.74
mr mackey,1,34,0,{},0.0
a counselor,1,10,0,{},0.0
leader,1,8,0,{},0.0
kenny,1,7,2,"{'fucking': 1, 'gay': 1}",28.57
linda,1,5,0,{},0.0
staffer,1,2,0,{},0.0
bebe,1,1,0,{},0.0
clyde,1,1,0,{},0.0
