Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,77,767,3,"{'farts': 2, 'god': 1}",0.39
kyle,41,370,2,"{'god': 1, 'damn': 1}",0.54
mr thompson,26,244,3,"{'snatch': 2, 'vagina': 1}",1.23
brian,22,195,3,{'god': 3},1.54
vladimir,13,139,2,"{'hell': 1, 'crap': 1}",1.44
hillary,12,156,0,{},0.0
mr hakeem,12,102,0,{},0.0
aide 3,10,137,2,"{'god': 1, 'snatch': 1}",1.46
cia leader 2,7,82,0,{},0.0
cia vice head,7,66,0,{},0.0
butters,7,42,0,{},0.0
baahir,7,29,0,{},0.0
mrs garrison,6,74,2,{'hell': 2},2.7
stan,6,63,0,{},0.0
agent,5,71,2,"{'snatch': 1, 'prig': 1}",2.82
chris,5,57,0,{},0.0
captain,5,45,0,{},0.0
eod leader,5,39,2,"{'snatch': 1, 'god': 1}",5.13
barbrady,5,13,0,{},0.0
female agent,4,30,0,{},0.0
mrs hakeem,4,29,0,{},0.0
fbi leader,3,36,0,{},0.0
female agent 2,3,29,0,{},0.0
chase,3,24,0,{},0.0
queen elizabeth ii,3,14,0,{},0.0
bush,3,4,0,{},0.0
otis,2,36,1,{'god': 1},2.78
blond russian,2,25,0,{},0.0
agent 2,2,22,0,{},0.0
blonde russian,2,21,0,{},0.0
aide,2,15,0,{},0.0
terrorist 1,2,8,0,{},0.0
atf leader,1,28,0,{},0.0
mayor mcdaniels,1,21,0,{},0.0
mr waters,1,21,0,{},0.0
secret service leader,1,21,0,{},0.0
police officer,1,13,0,{},0.0
aide 2,1,10,0,{},0.0
principal victoria,1,8,0,{},0.0
head agent,1,7,0,{},0.0
driver,1,6,0,{},0.0
nelson,1,4,0,{},0.0
hildog fan,1,3,0,{},0.0
female aide,1,3,0,{},0.0
agent 4,1,3,0,{},0.0
soldier,1,1,0,{},0.0
