Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,72,1281,51,"{'shit': 4, 'asshole': 4, 'pussy': 3, 'titties': 3, 'ass': 3, 'god': 3, 'cock': 2, 'butthole': 2, 'bitch': 2, 'tampon': 2, 'kike': 2, 'suck': 2, 'cocksucker': 1, 'shithead': 1, 'faggot': 1, 'retard': 1, 'spooge': 1, 'crap': 1, 'vagina': 1, 'douche': 1, 'fag': 1, 'piss': 1, 'fat': 1, 'fucking': 1, 'goddamn': 1, 'dickhead': 1, 'jizz': 1, 'dick': 1, 'titty': 1, 'hell': 1, 'screwed': 1}",3.98
kyle,34,296,7,"{'fatass': 3, 'asshole': 2, 'stupid': 1, 'sex': 1}",2.36
hansen,25,332,4,"{'sex': 1, 'pedophiles': 1, 'pedophile': 1, 'hell': 1}",1.2
thomas,19,206,28,"{'shit': 12, 'asshole': 4, 'cock': 4, 'stupid': 3, 'bitch': 2, 'ass': 1, 'fat': 1, 'suck': 1}",13.59
mr donaldson,14,247,13,"{'ass': 8, 'piss': 5}",5.26
mom,7,63,0,{},0.0
craig,6,99,3,"{'tampon': 1, 'titty': 1, 'asshole': 1}",3.03
mrs garrison,6,82,0,{},0.0
hotforboys219,6,56,2,"{'god': 1, 'cock': 1}",3.57
clerk,6,26,0,{},0.0
liane,5,52,0,{},0.0
doctor,4,68,0,{},0.0
principal victoria,4,36,0,{},0.0
butters,4,30,0,{},0.0
announcer,3,32,0,{},0.0
pedo 2,3,12,0,{},0.0
boy,3,10,7,"{'cock': 3, 'asshole': 2, 'shit': 2}",70.0
teen boy,2,27,0,{},0.0
brunette,2,20,0,{},0.0
sheila,2,19,0,{},0.0
mr mackey,2,18,0,{},0.0
predator,2,10,2,"{'god': 1, 'stupid': 1}",20.0
man 1,2,3,0,{},0.0
blonde girl,1,32,0,{},0.0
pedo 3,1,8,1,{'god': 1},12.5
audience members,1,7,0,{},0.0
pedo 7,1,4,0,{},0.0
a page,1,3,0,{},0.0
pedo 6,1,3,0,{},0.0
thomas kyle,1,2,1,{'shit': 1},50.0
gerald,1,2,0,{},0.0
pedo 4,1,2,0,{},0.0
patty,1,1,0,{},0.0
pedo 5,1,1,0,{},0.0
