Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,50,791,7,"{'god': 2, 'damn': 2, 'hell': 1, 'fuck': 1, 'shit': 1}",0.88
mr gueermo,40,522,12,"{'god': 3, 'stupid': 2, 'asshole': 2, 'shit': 1, 'ass': 1, 'hells': 1, 'asses': 1, 'bitch': 1}",2.3
bridon,38,266,0,{},0.0
cartman,25,246,8,"{'god': 2, 'goddamn': 1, 'hell': 1, 'fags': 1, 'kill': 1, 'sucks': 1, 'fuck': 1}",3.25
kyle,17,163,2,"{'kill': 1, 'turd': 1}",1.23
mrs gueermo,12,61,1,{'god': 1},1.64
mr garrett,10,87,1,{'hell': 1},1.15
wendy,10,81,1,{'stupid': 1},1.23
kids,10,75,0,{},0.0
bebe,8,87,0,{},0.0
scott,6,64,0,{},0.0
jimmy,6,50,1,{'hell': 1},2.0
kenny,6,27,1,{'hell': 1},3.7
butters,5,62,0,{},0.0
male cps agent,5,60,0,{},0.0
boys,4,26,0,{},0.0
class,3,33,0,{},0.0
mr mackey,3,30,0,{},0.0
girls table,3,18,0,{},0.0
mr garrison,2,39,0,{},0.0
jason,2,27,0,{},0.0
female cps agent,2,17,1,{'god': 1},5.88
clyde,2,15,0,{},0.0
singers,1,17,0,{},0.0
red,1,16,0,{},0.0
bridon wendy,1,13,0,{},0.0
bridon gueermo,1,10,0,{},0.0
scott malkinson,1,8,0,{},0.0
millie,1,7,0,{},0.0
boys table except for the boys,1,4,0,{},0.0
heidi,1,3,0,{},0.0
lola,1,2,0,{},0.0
heidi millie,1,2,0,{},0.0
craig,1,1,0,{},0.0
girls,1,0,0,{},0
