Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
butters,52,702,4,{'god': 4},0.57
pete,29,400,9,"{'hell': 2, 'god': 2, 'butthole': 1, 'douchey': 1, 'douchebag': 1, 'boner': 1, 'retarded': 1}",2.25
vampir,26,295,1,{'hell': 1},0.34
stephen,19,298,1,{'gay': 1},0.34
michael,19,164,1,{'fuck': 1},0.61
henrietta,14,164,2,"{'douchey': 1, 'douchebag': 1}",1.22
cartman,11,105,7,"{'japs': 2, 'goddamn': 1, 'jap': 1, 'bitch': 1, 'gay': 1, 'sexual': 1}",6.67
linda,8,73,0,{},0.0
mr mackey,4,95,1,{'hell': 1},1.05
principal victoria,4,86,0,{},0.0
waitress,4,55,0,{},0.0
spiky vampire,4,28,0,{},0.0
stan,4,17,0,{},0.0
sparkly vampire,3,38,0,{},0.0
boy 1,3,25,0,{},0.0
midnight vampire,3,24,0,{},0.0
bloodrayne,3,20,0,{},0.0
liane,3,9,0,{},0.0
singer,2,21,0,{},0.0
kyle,2,15,0,{},0.0
clerk,2,8,1,{'hell': 1},12.5
firkle,2,2,1,{'shit': 1},50.0
tape,1,35,0,{},0.0
lead vampire,1,24,0,{},0.0
boy 3,1,23,1,{'fat': 1},4.35
little vamp,1,11,0,{},0.0
shades vamp,1,10,0,{},0.0
cowlick vampire,1,9,0,{},0.0
boy 2,1,9,0,{},0.0
red,1,7,0,{},0.0
spiky vamp,1,6,1,{'hell': 1},16.67
other vampires,1,2,0,{},0.0
other vamps,1,1,0,{},0.0
goths,1,1,0,{},0.0
