Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,45,904,1,{'stupid': 1},0.11
mrs garrison,34,457,30,"{'penis': 21, 'sex': 2, 'crap': 2, 'screw': 1, 'god': 1, 'hell': 1, 'kill': 1, 'stupid': 1}",6.56
principal victoria,10,161,0,{},0.0
researcher 1,9,137,5,"{'penis': 4, 'vagina': 1}",3.65
teen boy 6,9,91,2,"{'bullshit': 1, 'fuck': 1}",2.2
stephen,8,54,5,{'penis': 5},9.26
class,7,33,0,{},0.0
mrs miller,6,142,0,{},0.0
kyle,6,62,3,"{'fatass': 1, 'fucking': 1, 'murder': 1}",4.84
linda,6,52,2,{'penis': 2},3.85
butters,5,26,1,{'penis': 1},3.85
melita,4,47,0,{},0.0
woman 2,4,11,1,{'penis': 1},9.09
sgt yates,3,44,3,"{'penis': 2, 'ugly': 1}",6.82
mitch harris,3,15,0,{},0.0
news anchor,2,73,0,{},0.0
mr garrison,2,70,1,{'faggot': 1},1.43
officer,2,29,1,{'penis': 1},3.45
mr mackey,2,27,0,{},0.0
teen boy 2,2,22,1,{'hell': 1},4.55
husband,2,20,1,{'penis': 1},5.0
teen boy 3,2,19,1,{'hell': 1},5.26
mouse,2,18,0,{},0.0
marija,2,16,0,{},0.0
teen boy 8,2,14,1,{'screwed': 1},7.14
woman,2,11,1,{'penis': 1},9.09
penis,2,11,0,{},0.0
officer harris,2,7,0,{},0.0
board rep 1,1,32,0,{},0.0
board rep 2,1,26,0,{},0.0
a teacher,1,18,0,{},0.0
teen boy 5,1,12,1,{'fuck': 1},8.33
teen girl 2,1,11,0,{},0.0
teen boy 1,1,10,0,{},0.0
principal,1,8,0,{},0.0
researcher 2,1,8,0,{},0.0
chef,1,7,0,{},0.0
stan,1,6,0,{},0.0
kenny,1,5,0,{},0.0
penis mouse,1,5,0,{},0.0
teen boy 7,1,4,0,{},0.0
woman 4,1,4,0,{},0.0
woman 3,1,3,1,{'penis': 1},33.33
man 2,1,3,0,{},0.0
teen boy 4,1,1,0,{},0.0
a woman,1,1,0,{},0.0
