Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,34,273,2,{'stupid': 2},0.73
kyle,21,368,4,"{'stupid': 2, 'sucks': 1, 'fatass': 1}",1.09
randy,20,655,5,"{'stupid': 3, 'assholes': 1, 'maxi': 1}",0.76
benny,12,189,0,{},0.0
cartman,8,243,1,{'dick': 1},0.41
treasurer 1,7,49,0,{},0.0
man 10,6,51,0,{},0.0
clerk,5,139,0,{},0.0
josh,5,111,0,{},0.0
stockbroker,5,87,0,{},0.0
stephen,5,75,0,{},0.0
anchor,4,136,0,{},0.0
father maxi,4,69,4,"{'retarded': 1, 'fucking': 1, 'stupid': 1, 'kill': 1}",5.8
treasurer 3,4,33,0,{},0.0
butters,4,32,1,{'kill': 1},3.12
mr garrison,4,26,0,{},0.0
treasurer 2,3,35,0,{},0.0
skeeter,2,52,1,{'stupid': 1},1.92
man 9,2,40,0,{},0.0
man 11,2,38,0,{},0.0
sheila,2,28,0,{},0.0
jimmy,2,26,1,{'fucks': 1},3.85
sharon,2,22,0,{},0.0
sir 1,2,13,0,{},0.0
receptionist,2,12,0,{},0.0
orator 2,1,51,1,{'fat': 1},1.96
orator 1,1,50,0,{},0.0
man 8,1,18,0,{},0.0
darryl weathers,1,16,0,{},0.0
man 12,1,12,1,{'kill': 1},8.33
announcer,1,12,0,{},0.0
man 16,1,11,0,{},0.0
dr doctor,1,11,0,{},0.0
clyde,1,10,0,{},0.0
man 2,1,9,0,{},0.0
darryl,1,9,0,{},0.0
man 15,1,8,0,{},0.0
man 6,1,7,0,{},0.0
gerald,1,5,0,{},0.0
man 5,1,5,0,{},0.0
man 7,1,5,0,{},0.0
man 14,1,5,0,{},0.0
worker 1,1,4,0,{},0.0
worker 2,1,3,0,{},0.0
man 3,1,3,0,{},0.0
man 13,1,3,0,{},0.0
man 1,1,2,0,{},0.0
man 4,1,2,0,{},0.0
al,1,2,0,{},0.0
ted,1,2,0,{},0.0
man 17,1,2,0,{},0.0
mrs farnickle,1,1,0,{},0.0
worker 3,1,1,0,{},0.0
worker 4,1,1,0,{},0.0
