Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,70,1138,17,"{'gay': 4, 'dicks': 3, 'god': 2, 'pissed': 1, 'polacks': 1, 'shit': 1, 'fuck': 1, 'motherfucker': 1, 'fat': 1, 'turd': 1, 'butthole': 1}",1.49
jimmy,49,594,10,"{'fat': 2, 'polack': 1, 'dicks': 1, 'gay': 1, 'fucking': 1, 'dick': 1, 'suck': 1, 'bitch': 1, 'kill': 1}",1.68
kanye,35,530,20,"{'gay': 9, 'motherfuckin': 3, 'hell': 2, 'motherfuckers': 2, 'damn': 1, 'ass': 1, 'fuck': 1, 'gods': 1}",3.77
kyle,10,168,4,"{'fat': 1, 'turd': 1, 'screw': 1, 'douchebags': 1}",2.38
tom snyder,10,43,6,"{'dicks': 3, 'gay': 3}",13.95
mencia,7,231,9,"{'dick': 3, 'gay': 2, 'fuck': 2, 'piss': 1, 'dicks': 1}",3.9
butters,6,62,1,{'gay': 1},1.61
sarah,5,52,2,{'fat': 2},3.85
ellen,4,64,0,{},0.0
craig,4,37,0,{},0.0
clyde,4,10,0,{},0.0
aide 2,3,30,0,{},0.0
conan obrien,2,71,0,{},0.0
house,2,55,2,{'dicks': 2},3.64
jimmy kimmel,2,31,1,{'gay': 1},3.23
david letterman,2,17,1,{'gay': 1},5.88
announcer,2,17,0,{},0.0
stephen,2,14,1,{'gay': 1},7.14
wendy,2,13,1,{'fat': 1},7.69
tolkien,2,6,0,{},0.0
anchor,1,59,0,{},0.0
ellen degeneres,1,58,0,{},0.0
jay leno,1,32,1,{'gay': 1},3.12
mr mackey,1,8,0,{},0.0
mr garrison,1,7,0,{},0.0
audience,1,6,3,{'gay': 3},50.0
doctor,1,5,0,{},0.0
reporter 2,1,4,1,{'gay': 1},25.0
peterson,1,4,0,{},0.0
reporter 1,1,4,0,{},0.0
carlos mencia,1,4,0,{},0.0
butters cartman,1,3,1,{'gay': 1},33.33
stan,1,3,0,{},0.0
paul shaffer,1,2,0,{},0.0
aide 1,1,2,0,{},0.0
the guys,1,1,0,{},0.0
