Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
chairman,25,473,15,"{'sex': 9, 'sexual': 2, 'god': 2, 'bastard': 1, 'hell': 1}",3.17
kyle,21,176,6,"{'god': 3, 'sex': 2, 'bastard': 1}",3.41
therapist,17,274,6,"{'sex': 2, 'turd': 2, 'vaginas': 1, 'porn': 1}",2.19
butters,15,222,1,{'whiz': 1},0.45
obama,14,240,7,"{'sex': 4, 'turd': 1, 'bastards': 1, 'screw': 1}",2.92
cartman,13,134,2,"{'hell': 1, 'screw': 1}",1.49
tiger,12,165,10,"{'fucking': 2, 'fuck': 2, 'stupid': 1, 'god': 1, 'whore': 1, 'cunt': 1, 'bitch': 1, 'sex': 1}",6.06
expert 9,11,294,4,"{'sex': 1, 'autoerotic': 1, 'masturbating': 1, 'orgasm': 1}",1.36
elin,11,88,11,"{'fuck': 3, 'motherfucker': 3, 'porn': 2, 'hooker': 1, 'turd': 1, 'screwed': 1}",12.5
stan,8,65,2,"{'sex': 1, 'stupid': 1}",3.08
expert 4,7,174,5,{'sex': 5},2.87
kenny,6,24,4,"{'fucked': 1, 'fuck': 1, 'fuckin': 1, 'autoerotic': 1}",16.67
bill clinton,5,27,4,"{'vaginas': 1, 'tits': 1, 'fuck': 1, 'sex': 1}",14.81
swat officer 2,3,154,2,"{'sex': 1, 'screwed': 1}",1.3
david letterman,3,22,1,{'sex': 1},4.55
news 4 reporter,2,68,1,{'sex': 1},1.47
priest,2,49,0,{},0.0
dr tonton,2,43,2,"{'sex': 1, 'god': 1}",4.65
randy,2,27,1,{'sex': 1},3.7
reporter 1,2,26,2,"{'sex': 1, 'bastards': 1}",7.69
expert 7,2,26,0,{},0.0
expert 6,2,21,0,{},0.0
man,2,13,2,{'bitch': 2},15.38
swat officer 3,2,10,0,{},0.0
announcer,2,7,0,{},0.0
the men,2,6,0,{},0.0
expert 1,1,28,0,{},0.0
expert 10,1,25,1,{'sex': 1},4.0
expert 2,1,21,1,{'sex': 1},4.76
commentator,1,15,1,{'hell': 1},6.67
reporter 2,1,13,0,{},0.0
expert 3,1,12,1,{'sex': 1},8.33
woman,1,8,1,{'motherfucker': 1},12.5
ben rothlisberger,1,7,1,{'screw': 1},14.29
charlie sheen,1,7,1,{'porn': 1},14.29
mrs mccormick,1,7,0,{},0.0
swat officer 4,1,7,0,{},0.0
expert 11,1,6,0,{},0.0
secret service agent,1,5,1,{'turd': 1},20.0
swat officer 1,1,5,0,{},0.0
tiger woods,1,4,0,{},0.0
david duchovny,1,3,1,{'whiz': 1},33.33
the class,1,3,0,{},0.0
ben roethlisberger,1,3,0,{},0.0
swat officer 5,1,3,0,{},0.0
another addict,1,3,0,{},0.0
expert 5,1,2,0,{},0.0
expert 8,1,2,0,{},0.0
the other men,1,1,0,{},0.0
michael douglas,1,1,0,{},0.0
