Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
coon,59,914,46,"{'coon': 28, 'fucking': 5, 'god': 2, 'naked': 2, 'fuck': 2, 'murders': 1, 'coons': 1, 'butthole': 1, 'poop': 1, 'kills': 1, 'goddammit': 1, 'crap': 1}",5.03
captain hindsight,24,363,3,"{'drunk': 2, 'schlong': 1}",0.83
mosquito,12,142,1,{'naked': 1},0.7
liane,11,124,0,{},0.0
mysterion,11,119,4,"{'coon': 3, 'god': 1}",3.36
butler,11,90,1,{'god': 1},1.11
tony hayward,10,228,1,{'fuck': 1},0.44
cartman,10,193,8,"{'coon': 7, 'coons': 1}",4.15
toolshed,9,74,2,"{'coon': 1, 'naked': 1}",2.7
fire captain,8,51,1,{'god': 1},1.96
randy,7,79,1,{'hell': 1},1.27
fireman,6,56,1,{'god': 1},1.79
reporter,5,131,1,{'slaves': 1},0.76
stan,5,51,0,{},0.0
sharon,4,47,0,{},0.0
the human kite,4,46,2,{'coon': 2},4.35
tupperwear,4,22,0,{},0.0
mint berry crunch,4,19,1,{'naked': 1},5.26
anchor man,3,114,0,{},0.0
professor chaos,3,54,1,{'poop': 1},1.85
alarm,3,38,8,{'coon': 8},21.05
rescuer 2,3,31,0,{},0.0
officer 2,3,22,0,{},0.0
cajun shrimp merchant,2,60,0,{},0.0
dp executive 6,2,18,0,{},0.0
bp man 3,2,14,0,{},0.0
rescuer 3,2,12,0,{},0.0
rescuer 4,2,10,2,{'god': 2},20.0
officer,2,8,0,{},0.0
iron maiden,2,2,0,{},0.0
announcer,1,50,0,{},0.0
dp executive 3,1,25,0,{},0.0
news 4 reporter,1,19,0,{},0.0
fireman 2,1,14,0,{},0.0
woman,1,12,0,{},0.0
alarm alert,1,11,1,{'coon': 1},9.09
man,1,10,0,{},0.0
dp executive 1,1,10,0,{},0.0
bp man 1,1,9,0,{},0.0
rescuer 1,1,7,0,{},0.0
dp executive 2,1,7,0,{},0.0
dp executives,1,7,0,{},0.0
all,1,6,0,{},0.0
coons friends,1,6,0,{},0.0
bp man 2,1,5,0,{},0.0
rescuer 6,1,5,0,{},0.0
dp executive 5,1,5,0,{},0.0
rescuer 5,1,4,1,{'god': 1},25.0
bp man 4,1,4,0,{},0.0
dp executive 4,1,3,0,{},0.0
commissioner,1,1,0,{},0.0
