Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
coon,38,968,38,"{'coon': 21, 'fucking': 2, 'fuck': 2, 'fuckin': 2, 'assholes': 1, 'vagina': 1, 'coons': 1, 'kike': 1, 'motherfucker': 1, 'bitch': 1, 'crap': 1, 'butthole': 1, 'douchebag': 1, 'hell': 1, 'poop': 1}",3.93
mysterion,36,438,18,"{'fat': 3, 'kill': 3, 'god': 2, 'fuckin': 2, 'fucking': 2, 'bastard': 1, 'assholes': 1, 'prick': 1, 'fuck': 1, 'pussy': 1, 'shit': 1}",4.11
mintberry crunch,23,521,11,"{'coon': 4, 'fat': 2, 'god': 1, 'pee': 1, 'crap': 1, 'hell': 1, 'kill': 1}",2.11
human kite,22,202,6,"{'coon': 2, 'fuck': 1, 'fatass': 1, 'hell': 1, 'bastard': 1}",2.97
toolshed,21,180,9,"{'god': 3, 'shit': 3, 'coon': 1, 'fuck': 1, 'poop': 1}",5.0
henrietta,7,99,1,{'fuck': 1},1.01
liane,7,52,0,{},0.0
mosquito,6,48,0,{},0.0
pete,4,58,1,{'god': 1},1.72
michael,4,42,2,"{'sucks': 1, 'gay': 1}",4.76
alien man,3,183,0,{},0.0
bradley,3,48,0,{},0.0
reporter,2,50,0,{},0.0
reporter 2,2,47,2,"{'god': 1, 'coon': 1}",4.26
mrs biggle,2,25,0,{},0.0
tupperwear,2,14,0,{},0.0
carol,2,13,1,{'stupid': 1},7.69
justin bieber,1,17,0,{},0.0
professor chaos,1,10,0,{},0.0
man 2,1,6,0,{},0.0
man 1,1,3,0,{},0.0
iron maiden,1,2,0,{},0.0
stuart,1,2,0,{},0.0
